musicId,frameTime,Arousal(mean),Valence(mean)
2,15.0,0.445307,0.46333
2,15.5,0.442529,0.46267
2,16.0,0.441794,0.462962
2,16.5,0.440693,0.460923
2,17.0,0.436772,0.459206
2,17.5,0.433401,0.459564
2,18.0,0.431572,0.458195
2,18.5,0.427644,0.458928
2,19.0,0.430507,0.459184
2,19.5,0.431199,0.458063
2,20.0,0.430712,0.457448
2,20.5,0.429739,0.456406
2,21.0,0.427826,0.455961
2,21.5,0.424817,0.455629
2,22.0,0.423777,0.455097
2,22.5,0.423253,0.454491
2,23.0,0.422328,0.453818
2,23.5,0.423279,0.453038
2,24.0,0.426326,0.452256
2,24.5,0.426786,0.451433
2,25.0,0.428013,0.440983
2,25.5,0.429201,0.402905
2,26.0,0.429638,0.394414
2,26.5,0.429657,0.393512
2,27.0,0.430027,0.392665
2,27.5,0.426359,0.392538
2,28.0,0.421107,0.391599
2,28.5,0.417875,0.387816
2,29.0,0.415853,0.380335
2,29.5,0.417741,0.379208
2,30.0,0.421156,0.37803
2,30.5,0.423113,0.376578
2,31.0,0.396317,0.374654
2,31.5,0.373308,0.374211
2,32.0,0.371629,0.370126
2,32.5,0.372892,0.356919
2,33.0,0.37361,0.350975
2,33.5,0.370944,0.351545
2,34.0,0.368314,0.348909
2,34.5,0.364912,0.346729
2,35.0,0.363984,0.345398
2,35.5,0.366103,0.344248
2,36.0,0.368693,0.344234
2,36.5,0.369214,0.345033
2,37.0,0.36942,0.344501
2,37.5,0.370528,0.345069
2,38.0,0.368945,0.344864
2,38.5,0.369475,0.344972
2,39.0,0.371767,0.343451
2,39.5,0.370941,0.342836
2,40.0,0.37155,0.341312
2,40.5,0.370226,0.337577
2,41.0,0.368882,0.33766
2,41.5,0.36926,0.335944
2,42.0,0.367543,0.334933
2,42.5,0.367302,0.334933
2,43.0,0.367419,0.334418
2,43.5,0.367765,0.334115
2,44.0,0.367079,0.332856
2,44.5,0.366455,0.333077
3,15.0,0.444577,0.405149
3,15.5,0.438014,0.406118
3,16.0,0.434449,0.40813
3,16.5,0.432022,0.40562
3,17.0,0.429612,0.403148
3,17.5,0.427668,0.404583
3,18.0,0.418441,0.405479
3,18.5,0.417391,0.401223
3,19.0,0.420571,0.398564
3,19.5,0.421609,0.395122
3,20.0,0.419959,0.393981
3,20.5,0.415313,0.396531
3,21.0,0.417072,0.396715
3,21.5,0.417946,0.392377
3,22.0,0.419118,0.387298
3,22.5,0.418777,0.383973
3,23.0,0.414961,0.384449
